% 1. Title: Oscar Winners - Labeled
% 
% 2. Sources: 
%     The Internation Movie Database, Wikipedia
%     Compiled by Alex Cuthbert, Tess Mika, Zach Richards, Rocky Evans
% 
% 3.  Past Usage:
% 
%     None.
%   
% 4.  Relevant Information:
% 
%     This file contains metadata from all the movies that have been nominated for an oscar since 2010.
%   
% 5.  Number of Instances: 149
% 
% 6.  Number of Attributes: 9 + class attribute
% 
% 7.  Attribute Information:
% 
%     runtime:			continuous.
%     rating:			G, PG, PG-13, R.
%     critic_review:		continuous.
%     audience_review:		continuous.
%     budget:			continuous.
%     revenue:			continuous.
%     budget_revenue_ratio:	continuous.
%     net_profit:		continuous.
%     medium:			Live, Animated.
%     oscar_received: 		no, yes.       (class attribute)
% 
% 8.  Missing Attribute Values:
%     3 cases (2%) have one or more missing values.  The missing
%     values from particular attributes are:
% 
%     rating:   1
%     budget:  1
%     revenue:  1
%     
% 9.  Class Distribution
%   
%     no: 112 (75.17%)
%     yes: 37 (24.83%)

@relation Oscar-Predictions

@attribute runtime 		real
@attribute rating 		{G, PG, PG-13, R}
@attribute critic_review 	real
@attribute audience_review 	real
@attribute budget 		real
@attribute revenue 		real
@attribute budget_revenue_ratio real
@attribute net_profit 		real
@attribute medium 		{Live, Animated}
@attribute Class 		{no, yes}

@data
95,PG,94,8.1,175,858,4.902857143,683,Animated,yes
85,PG,81,7.3,25,106.2,4.248,81.2,Animated,no
103,PG,72,7.7,10.5,36,3.428571429,25.5,Animated,no
116,PG-13,81,7.9,47,203.4,4.327659574,156.4,Live,yes
139,PG-13,79,7.2,24,64.4,2.683333333,40.4,Live,yes
139,R,71,8.1,40,180.5,4.5125,140.5,Live,yes
102,R,88,7.6,12,37.9,3.158333333,25.9,Live,no
127,PG,74,7.8,25,236.2,9.448,211.2,Live,no
128,PG-13,94,8,30,448.9,14.96333333,418.9,Live,yes
118,PG-13,69,8,12,140.3,11.69166667,128.3,Live,no
137,R,96,7.8,9,79,8.777777778,70,Live,yes
111,R,99,7.4,4,65.3,16.325,61.3,Live,yes
102,PG,84,7.8,60,77.5,1.291666667,17.5,Animated,no
107,PG,81,7.6,175,690.8,3.947428571,515.8,Animated,no
65,PG-13,85,7.8,8,5.6,0.7,-2.4,Animated,no
80,PG,86,7.5,11,6.6,0.6,-4.4,Animated,no
108,PG,78,8,150,1024,6.826666667,874,Animated,yes
232,R,93,7.9,3.5,41.9,11.97142857,38.4,Live,yes
125,PG-13,75,7.4,30,150.8,5.026666667,120.8,Live,no
107,PG-13,94,7.8,150,526.9,3.512666667,376.9,Live,no
104,R,85,7.7,4.5,255.4,56.75555556,250.9,Live,no
95,R,94,7.4,10,79,7.9,69,Live,no
131,R,90,7.5,35,47.8,1.365714286,12.8,Live,no
117,PG-13,83,7.2,50,179.8,3.596,129.8,Live,no
123,R,87,7.3,19.4,195.3,10.06701031,175.9,Live,no
116,R,88,8.1,50,160.2,3.204,110.2,Live,no
97,PG,50,6.3,125,528,4.224,403,Animated,no
94,PG-13,78,7.7,10,4.4,0.44,-5.6,Animated,no
109,PG,81,8.4,225,807.7,3.589777778,582.7,Animated,yes
108,PG,58,6.7,111,296.1,2.667567568,185.1,Animated,no
95,PG-13,62,7.8,5.5,42.1,7.654545455,36.6,Animated,no
135,PG-13,88,7.3,200,1348,6.74,1148,Live,no
136,R,83,7.5,15,93.4,6.226666667,78.4,Live,no
233,PG-13,49,8,55,905.2,16.45818182,850.2,Live,no
121,R,91,7.5,15,96,6.4,81,Live,no
130,PG-13,69,8.2,23,321.8,13.99130435,298.8,Live,yes
135,R,96,7.7,15,5.1,0.34,-9.9,Live,no
134,R,88,7.6,36,436.2,12.11666667,400.2,Live,no
133,R,61,7.2,60,76.1,1.268333333,16.1,Live,no
